nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   53000 | wellbeing 0.242 | wm_loss 1.8344 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 51 | eps 1.00
step   53500 | wellbeing 0.367 | wm_loss 1.8078 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 53 | eps 1.00
step   54000 | wellbeing 0.157 | wm_loss 1.8292 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 54 | eps 1.00
step   54500 | wellbeing 0.000 | wm_loss 1.8365 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 54 | eps 1.00
step   55000 | wellbeing 0.026 | wm_loss 1.8360 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 54 | eps 1.00
step   55500 | wellbeing 0.184 | wm_loss 1.8415 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 55 | eps 1.00
step   56000 | wellbeing 0.000 | wm_loss 1.8082 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 55 | eps 1.00
step   56500 | wellbeing 0.231 | wm_loss 1.8594 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 56 | eps 1.00
step   57000 | wellbeing 0.000 | wm_loss 1.8142 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 56 | eps 1.00
step   57500 | wellbeing 0.256 | wm_loss 1.8466 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 57 | eps 1.00
step   58000 | wellbeing 0.155 | wm_loss 1.8196 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 58 | eps 1.00
step   58500 | wellbeing 0.000 | wm_loss 1.8183 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 58 | eps 1.00
step   59000 | wellbeing 0.000 | wm_loss 1.7892 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 58 | eps 1.00
step   59500 | wellbeing 0.000 | wm_loss 1.8221 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 58 | eps 1.00
step   60000 | wellbeing 0.000 | wm_loss 1.7756 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 58 | eps 1.00
step   60500 | wellbeing 0.000 | wm_loss 1.8423 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 0 | morts 58 | eps 1.00
step   61000 | wellbeing 0.155 | wm_loss 1.7786 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 59 | eps 1.00
step   61500 | wellbeing 0.001 | wm_loss 1.8132 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 59 | eps 1.00
step   62000 | wellbeing 0.205 | wm_loss 1.7888 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 60 | eps 1.00
step   62500 | wellbeing 0.000 | wm_loss 1.8135 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 60 | eps 1.00
step   63000 | wellbeing 0.159 | wm_loss 1.7952 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 61 | eps 1.00
step   63500 | wellbeing 0.204 | wm_loss 1.8751 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 62 | eps 1.00
step   64000 | wellbeing 0.155 | wm_loss 1.8075 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 0 | morts 63 | eps 1.00
step   64500 | wellbeing 0.000 | wm_loss 1.7985 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 63 | eps 1.00
step   65000 | wellbeing 0.001 | wm_loss 1.8311 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 63 | eps 1.00
step   65500 | wellbeing 0.000 | wm_loss 1.7887 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 63 | eps 1.00
