nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   65500 | wellbeing 0.000 | wm_loss 1.9838 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
step   66000 | wellbeing 0.000 | wm_loss 1.9538 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
step   66500 | wellbeing 0.000 | wm_loss 1.9194 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
step   67000 | wellbeing 0.000 | wm_loss 1.9886 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 49 | eps 1.00
step   67500 | wellbeing 0.000 | wm_loss 1.9897 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   68000 | wellbeing 0.000 | wm_loss 1.9817 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   68500 | wellbeing 0.000 | wm_loss 1.9603 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   69000 | wellbeing 0.000 | wm_loss 1.9956 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   69500 | wellbeing 0.000 | wm_loss 2.0257 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   70000 | wellbeing 0.000 | wm_loss 1.9676 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   70500 | wellbeing 0.000 | wm_loss 2.0008 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
step   71000 | wellbeing 0.000 | wm_loss 2.0014 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   71500 | wellbeing 0.000 | wm_loss 1.9501 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 49 | eps 1.00
step   72000 | wellbeing 0.000 | wm_loss 1.9565 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 49 | eps 1.00
step   72500 | wellbeing 0.000 | wm_loss 2.0003 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
